sales_id,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
1,Foot Locker,1185732,06/11/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,50,278,13900,792,Online
2,Foot Locker,1185732,14/03/2020,Northeast,New York,New York,Men's Apparel,46,278,12788,435,Outlet
3,West Gear,1128299,19/01/2021,West,California,San Francisco,Men's Athletic Footwear,47,278,13066,287,Outlet
4,Walmart,1128299,17/06/2021,Southeast,Florida,Orlando,Women's Apparel,103,218,22454,1257,Online
5,Sports Direct,1197831,14/09/2021,South,Alabama,Birmingham,Women's Street Footwear,36,278,10008,530,Outlet
6,West Gear,1197831,06/07/2021,West,Idaho,Boise,Women's Street Footwear,34,278,9452,397,Outlet
7,West Gear,1128299,12/01/2021,West,California,San Francisco,Men's Street Footwear,56,277,15512,698,Online
8,Foot Locker,1185732,21/01/2020,Northeast,New York,New York,Women's Street Footwear,36,276,9936,467,Online
9,Walmart,1197831,17/08/2020,South,Texas,Houston,Women's Apparel,37,276,10212,643,Online
10,West Gear,1128299,16/07/2021,South,Louisiana,New Orleans,Women's Apparel,103,163,16789,806,Online
11,Sports Direct,1197831,25/08/2021,South,Alabama,Birmingham,Men's Street Footwear,10,700,7000,3150,Outlet
12,Sports Direct,1185732,02/03/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,7728,417,Online
13,Sports Direct,1197831,23/08/2021,South,Alabama,Birmingham,Men's Apparel,25,275,6875,2750,Outlet
14,Sports Direct,1197831,27/08/2021,South,Alabama,Birmingham,Women's Street Footwear,15,575,8625,3881,Outlet
15,Sports Direct,1197831,21/08/2021,South,Alabama,Birmingham,Women's Street Footwear,15,475,7125,3206,Outlet
16,West Gear,1185732,11/01/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,475,7125,2494,In-store
17,Sports Direct,1185732,17/11/2021,South,Mississippi,Jackson,Men's Athletic Footwear,20,450,9000,3150,Online
18,Sports Direct,1197831,23/01/2021,South,Mississippi,Jackson,Women's Street Footwear,15,450,6750,2700,Online
19,West Gear,1185732,03/04/2021,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,450,9000,2700,In-store
20,Foot Locker,1185732,10/03/2020,Northeast,New York,New York,Men's Street Footwear,44,434,19096,993,Outlet
21,Foot Locker,1185732,18/01/2021,Midwest,Michigan,Detroit,Women's Athletic Footwear,25,275,6875,2750,In-store
22,Foot Locker,1185732,18/04/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,30,275,8250,2888,In-store
23,Foot Locker,1185732,18/04/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,20,275,5500,1925,In-store
24,Foot Locker,1185732,19/09/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,15,275,4125,1650,In-store
25,Foot Locker,1185732,19/09/2021,Midwest,Missouri,St. Louis,Men's Apparel,25,275,6875,2406,In-store
26,West Gear,1185732,12/05/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,25,275,6875,2750,In-store
27,West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20,275,5500,2200,In-store
28,West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Men's Apparel,30,275,8250,2888,In-store
29,Foot Locker,1185732,16/03/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20,275,5500,2200,Online
30,Walmart,1197831,21/10/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,20,275,5500,2200,Online
31,Walmart,1197831,21/10/2021,South,Arkansas,Little Rock,Men's Apparel,30,275,8250,2888,Online
32,West Gear,1197831,21/02/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,6875,2406,Online
33,West Gear,1197831,19/03/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,10,275,2750,1100,Online
34,West Gear,1197831,19/03/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25,275,6875,2750,Online
35,West Gear,1197831,19/09/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15,275,4125,1650,Online
36,Foot Locker,1197831,13/11/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,15,275,4125,1444,Online
37,Foot Locker,1185732,18/01/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20,425,8500,2975,In-store
38,West Gear,1185732,11/02/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15,425,6375,2231,In-store
39,Foot Locker,1185732,12/01/2021,Midwest,Kansas,Wichita,Women's Street Footwear,30,275,8250,2475,Online
40,Sports Direct,1185732,09/01/2021,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,25,275,6875,2063,Online
41,Sports Direct,1185732,09/02/2021,Midwest,North Dakota,Fargo,Women's Apparel,25,275,6875,2750,Online
42,West Gear,1185732,11/06/2021,West,Utah,Salt Lake City,Women's Street Footwear,20,425,8500,2975,In-store
43,Foot Locker,1185732,06/06/2021,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store
44,Amazon,1185732,10/04/2021,Midwest,Ohio,Columbus,Women's Street Footwear,20,425,8500,3400,Online
45,Foot Locker,1185732,16/03/2021,South,Mississippi,Jackson,Women's Street Footwear,15,425,6375,2550,Online
46,Foot Locker,1185732,07/09/2021,Midwest,Iowa,Des Moines,Men's Athletic Footwear,30,275,8250,2888,In-store
47,West Gear,1185732,09/03/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,15,275,4125,1444,In-store
48,Walmart,1185732,16/09/2021,South,Mississippi,Jackson,Women's Street Footwear,20,425,8500,3400,Online
49,Walmart,1197831,21/02/2021,South,Arkansas,Little Rock,Women's Apparel,20,425,8500,3400,Online
50,Walmart,1197831,21/10/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20,425,8500,2975,Online
51,West Gear,1185732,09/03/2021,Midwest,Indiana,Indianapolis,Women's Apparel,25,275,6875,2750,In-store
52,West Gear,1185732,11/09/2021,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,30,275,8250,3300,In-store
53,Walmart,1185732,03/05/2020,Northeast,New York,New York,Men's Street Footwear,48,420,20160,1129,Outlet
